Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,External IP
554,2263,52558,1065,443,6,17734,57172740,13,8,839.0,3388.0,357.0,0.0,64.53846153846153,116.53512731119272,1442.0,0.0,423.5,641.2835343501121,73,0,2858637.0,12639445.70720962,56556665.0,1.0,57172740.0,4764395.000000001,16310795.996312082,56556665.0,1.0,563180.0,80454.28571428571,122390.00478213665,344593.0,216.0,0,0,0,0,428,264,0.227381091058431,0.1399268252667267,0.0,1442.0,192.13636363636363,420.7975755242651,177070.5995670996,0,0,0,1,0,0,0,0,0.0,201.28571428571428,64.53846153846153,423.5,0,0,0,0,0,0,13,839,8,3388,65535,175,6,32,616034.0,0.0,616034.0,616034.0,56556665.0,0.0,56556665.0,56556665.0,BENIGN,0.0
38457,2264,61027,2741,53,17,18721,70820,1,1,43.0,78.0,43.0,43.0,43.0,0.0,78.0,78.0,78.0,0.0,1708,28,70820.0,0.0,70820.0,70820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,14.12030499858797,14.12030499858797,43.0,78.0,54.66666666666666,20.207259421636905,408.3333333333333,0,0,0,0,0,0,0,0,1.0,82.0,43.0,78.0,0,0,0,0,0,0,1,43,1,78,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
36942,2263,62295,2657,443,6,21392,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,666666.6666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,65535,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
222809,2265,58913,5667,443,6,21432,18,1,2,6.0,37.0,6.0,6.0,6.0,0.0,31.0,6.0,18.5,17.67766952966369,2388888,166666,9.0,11.31370849898476,17.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,20,40,55555.55555555556,111111.11111111112,6.0,31.0,12.25,12.5,156.25,1,0,0,0,1,0,0,0,2.0,16.333333333333332,6.0,18.5,0,0,0,0,0,0,1,6,2,37,0,124,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
32682,2260,55722,2396,443,6,4119,418,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4784,418.0,0.0,418.0,418.0,418.0,418.0,0.0,418.0,418.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,4784.688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,411,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
227010,2265,49274,8886,443,6,5239,5642699,8,6,370.0,4875.0,189.0,0.0,46.25000000000001,71.30367652312387,1689.0,2.0,812.5,802.693901808155,929,2,434053.7692307692,1515496.4333834173,5477542.0,46.0,5642699.0,806099.857142857,2060156.782958232,5477542.0,46.0,75858.0,15171.6,19636.444886995203,40249.0,49.0,0,0,0,0,172,124,1.417761252195093,1.06332093914632,0.0,1689.0,349.66666666666663,621.1294627723028,385801.8095238094,0,0,0,1,0,0,0,0,0.0,374.6428571428572,46.25,812.5,0,0,0,0,0,0,8,370,6,4875,8192,30016,7,20,165111.0,0.0,165111.0,165111.0,5477542.0,0.0,5477542.0,5477542.0,BENIGN,0.0
178357,2265,58883,2750,53,17,18490,79055,4,4,152.0,344.0,38.0,38.0,38.0,0.0,86.0,86.0,86.0,0.0,6274,101,11293.571428571428,23922.91880782348,64090.0,3.0,78902.0,26300.666666666664,45548.894787177145,78896.0,3.0,14962.0,4987.333333333334,8631.386524384905,14954.0,4.0,0,0,0,0,104,104,50.59768515590412,50.59768515590412,38.0,86.0,59.333333333333336,25.29822128134704,640.0,0,0,0,0,0,0,0,0,1.0,66.75,38.0,86.0,0,0,0,0,0,0,4,152,4,344,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
183103,2266,53426,2750,389,6,7370,65991564,34,18,6856.0,8102.0,403.0,0.0,201.6470588235294,195.3771616492512,1173.0,316.0,450.1111111111111,285.96110160996886,226,0,1293952.2352941171,5019477.721689266,24621555.0,1.0,65991564.0,1999744.363636364,6157265.910623435,24621555.0,1.0,65991238.0,3881837.529411765,8256776.077940879,24621828.0,3.0,1,0,0,0,1088,576,0.5152173692989002,0.272762136687653,0.0,1173.0,289.83018867924534,255.30741167410892,65181.87445573294,0,1,0,0,1,0,0,0,0.0,295.40384615384613,201.64705882352945,450.1111111111111,0,0,0,0,0,0,34,6856,18,8102,684,2081,17,32,1059795.6666666665,1771565.4970814183,3104979.0,283.0,20910115.33333333,3450126.7840258176,24621555.0,17800487.0,BENIGN,0.0
38733,2264,61303,2741,53,17,9339,50371,1,1,62.0,90.0,62.0,62.0,62.0,0.0,90.0,90.0,90.0,0.0,3017,39,50371.0,0.0,50371.0,50371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,19.852693017807866,19.852693017807866,62.0,90.0,71.33333333333333,16.165807537309522,261.33333333333337,0,0,0,0,0,0,0,0,1.0,107.0,62.0,90.0,0,0,0,0,0,0,1,62,1,90,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
39651,2264,62221,2741,53,17,9578,281478,1,1,56.0,153.0,56.0,56.0,56.0,0.0,153.0,153.0,153.0,0.0,742,7,281478.0,0.0,281478.0,281478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,3.5526755199340623,3.5526755199340623,56.0,153.0,88.33333333333334,56.0029761113937,3136.333333333333,0,0,0,0,0,0,0,0,1.0,132.5,56.0,153.0,0,0,0,0,0,0,1,56,1,153,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
50038,2789,443,2743,59473,6,10156,462,3,0,18.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,38961,6493,231.0,28.284271247461906,251.0,211.0,462.0,231.0,28.284271247461906,251.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,6493.506493506494,0.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,8.0,6.0,0.0,0,0,0,0,0,0,3,18,0,0,12499,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
38261,2264,60831,2741,53,17,10572,31201,1,1,52.0,68.0,52.0,52.0,52.0,0.0,68.0,68.0,68.0,0.0,3846,64,31201.0,0.0,31201.0,31201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,32.05025479952565,32.05025479952565,52.0,68.0,57.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,86.0,52.0,68.0,0,0,0,0,0,0,1,52,1,68,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
